Date,Bank rate - Weekly,Estimated variable mortgage rate,Weekly effective household interest rate,Weekly effective business interest rate
1/3/2024,5.25,6.26,6.69,6.41
12/27/2023,5.25,6.26,6.73,6.44
12/20/2023,5.25,6.25,6.8,6.47
12/13/2023,5.25,6.26,6.86,6.54
12/6/2023,5.25,6.27,6.89,6.59
11/29/2023,5.25,6.27,6.91,6.71
11/22/2023,5.25,6.28,6.92,6.73
11/15/2023,5.25,6.28,6.96,6.77
11/8/2023,5.25,6.28,6.95,6.78
11/1/2023,5.25,6.28,6.94,6.85
10/25/2023,5.25,6.28,6.9,6.89
10/18/2023,5.25,6.23,6.86,6.86
10/11/2023,5.25,6.23,6.83,6.88
10/4/2023,5.25,6.23,6.78,6.84
9/27/2023,5.25,6.23,6.76,6.81
9/20/2023,5.25,6.14,6.73,6.75
9/13/2023,5.25,6.14,6.75,6.73
9/6/2023,5.25,6.28,6.75,6.71
8/30/2023,5.25,6.28,6.72,6.78
8/23/2023,5.25,6.23,6.65,6.76
8/16/2023,5.25,6.24,6.63,6.72
8/9/2023,5.25,6.24,6.6,6.72
8/2/2023,5.25,6.19,6.55,6.72
7/26/2023,5.25,6.19,6.53,6.7
7/19/2023,5.25,5.98,6.49,6.62
7/12/2023,5,5.98,6.36,6.6
7/5/2023,5,5.99,6.33,6.51
6/28/2023,5,6.04,6.29,6.54
6/21/2023,5,6.04,6.23,6.52
6/14/2023,5,5.72,6.09,6.43
6/7/2023,4.75,5.72,5.97,6.33
5/31/2023,4.75,5.7,5.91,6.32
5/24/2023,4.75,5.7,5.9,6.25
5/17/2023,4.75,5.7,5.89,6.18
5/10/2023,4.75,5.7,5.88,6.17
5/3/2023,4.75,5.7,5.87,6.19
4/26/2023,4.75,5.7,5.87,6.23
4/19/2023,4.75,5.7,5.89,6.24
4/12/2023,4.75,5.76,5.9,6.17
4/5/2023,4.75,5.76,5.93,6.23
3/29/2023,4.75,5.86,5.98,6.16
3/22/2023,4.75,5.78,6.03,6.15
3/15/2023,4.75,5.78,5.96,6.23
3/8/2023,4.75,5.64,5.9,6.29
3/1/2023,4.75,5.73,5.87,6.29
2/22/2023,4.75,5.73,5.83,6.24
2/15/2023,4.75,5.69,5.81,6.19
2/8/2023,4.75,5.69,5.82,6.14
2/1/2023,4.75,5.64,5.83,6.05
1/25/2023,4.5,5.53,5.75,5.99
1/18/2023,4.5,5.53,5.72,6.05
1/11/2023,4.5,5.53,5.7,6.12
1/4/2023,4.5,5.45,5.7,6.15
12/28/2022,4.5,5.45,5.72,6.08
12/21/2022,4.5,5.45,5.75,6
12/14/2022,4.5,5.45,5.73,5.86
12/7/2022,4,5.12,5.64,5.77
11/30/2022,4,4.97,5.65,5.82
11/23/2022,4,5.03,5.69,5.89
11/16/2022,4,5.03,5.7,5.92
11/9/2022,4,5.05,5.72,5.97
11/2/2022,4,4.85,5.56,5.74
10/26/2022,3.5,4.53,5.4,5.71
10/19/2022,3.5,4.5,5.3,5.66
10/12/2022,3.5,4.53,5.25,5.6
10/5/2022,3.5,4.53,5.18,5.54
9/28/2022,3.5,4.53,5.18,5.46
9/21/2022,3.5,4.41,5.15,5.45
9/14/2022,3.5,4.06,5.07,5.16
9/7/2022,2.75,3.81,4.89,4.96
8/31/2022,2.75,3.81,4.87,4.92
8/24/2022,2.75,3.79,4.86,4.85
8/17/2022,2.75,3.79,4.89,4.8
8/10/2022,2.75,3.79,4.93,4.8
8/3/2022,2.75,3.79,4.91,4.79
7/27/2022,2.75,3.65,4.93,4.87
7/20/2022,2.75,3.19,4.82,4.52
7/13/2022,1.75,2.83,4.58,4.29
7/6/2022,1.75,2.81,4.57,4.26
6/29/2022,1.75,2.68,4.52,4.26
6/22/2022,1.75,2.64,4.44,4.28
6/15/2022,1.75,2.64,4.29,4.17
6/8/2022,1.75,2.21,4.2,3.85
6/1/2022,1.25,2.12,4.03,3.7
5/25/2022,1.25,2.12,4.02,3.72
5/18/2022,1.25,2.12,4.01,3.71
5/11/2022,1.25,2.11,3.93,3.71
5/4/2022,1.25,2.11,3.86,3.64
4/27/2022,1.25,2.08,3.84,3.62
4/20/2022,1.25,1.52,3.64,3.27
4/13/2022,0.75,1.45,3.58,3.23
4/6/2022,0.75,1.45,3.49,3.2
3/30/2022,0.75,1.46,3.39,3.17
3/23/2022,0.75,1.41,3.3,3.07
3/16/2022,0.75,1.32,3.26,2.96
3/9/2022,0.75,1.29,3.05,2.75
3/2/2022,0.5,1.29,2.83,2.74
2/23/2022,0.5,1.29,2.81,2.72
2/16/2022,0.5,1.31,2.81,2.68
2/9/2022,0.5,1.31,2.79,2.64
2/2/2022,0.5,1.31,2.78,2.6
1/26/2022,0.5,1.3,2.75,2.59
1/19/2022,0.5,1.31,2.75,2.56
1/12/2022,0.5,1.31,2.75,2.53
1/5/2022,0.5,1.3,2.74,2.47
12/29/2021,0.5,1.3,2.72,2.46
12/22/2021,0.5,1.27,2.69,2.44
12/15/2021,0.5,1.26,2.66,2.48
12/8/2021,0.5,1.29,2.65,2.47
12/1/2021,0.5,1.29,2.65,2.47
11/24/2021,0.5,1.3,2.66,2.48
11/17/2021,0.5,1.32,2.62,2.47
11/10/2021,0.5,1.32,2.6,2.46
11/3/2021,0.5,1.33,2.58,2.47
10/27/2021,0.5,1.33,2.56,2.44
10/20/2021,0.5,1.33,2.56,2.42
10/13/2021,0.5,1.32,2.55,2.4
10/6/2021,0.5,1.33,2.53,2.37
9/29/2021,0.5,1.33,2.53,2.33
9/22/2021,0.5,1.33,2.54,2.31
9/15/2021,0.5,1.33,2.54,2.29
9/8/2021,0.5,1.34,2.55,2.29
9/1/2021,0.5,1.36,2.56,2.28
8/25/2021,0.5,1.36,2.56,2.27
8/18/2021,0.5,1.36,2.56,2.29
8/11/2021,0.5,1.37,2.57,2.28
8/4/2021,0.5,1.37,2.57,2.26
7/28/2021,0.5,1.37,2.57,2.26
7/21/2021,0.5,1.37,2.57,2.29
7/14/2021,0.5,1.37,2.57,2.3
7/7/2021,0.5,1.37,2.57,2.31
6/30/2021,0.5,1.37,2.57,2.31
6/23/2021,0.5,1.37,2.57,2.3
6/16/2021,0.5,1.37,2.57,2.28
6/9/2021,0.5,1.37,2.57,2.3
6/2/2021,0.5,1.37,2.57,2.29
5/26/2021,0.5,1.37,2.57,2.31
5/19/2021,0.5,1.38,2.57,2.31
5/12/2021,0.5,1.39,2.56,2.3
5/5/2021,0.5,1.37,2.56,2.3
4/28/2021,0.5,1.36,2.56,2.3
4/21/2021,0.5,1.36,2.56,2.3
4/14/2021,0.5,1.38,2.57,2.31
4/7/2021,0.5,1.42,2.57,2.32
3/31/2021,0.5,1.42,2.57,2.31
3/24/2021,0.5,1.46,2.55,2.33
3/17/2021,0.5,1.51,2.5,2.31
3/10/2021,0.5,1.56,2.47,2.3
3/3/2021,0.5,1.56,2.48,2.29
2/24/2021,0.5,1.58,2.49,2.23
2/17/2021,0.5,1.58,2.49,2.19
2/10/2021,0.5,1.58,2.49,2.19
2/3/2021,0.5,1.63,2.52,2.16
1/27/2021,0.5,1.65,2.54,2.17
1/20/2021,0.5,1.77,2.54,2.18
1/13/2021,0.5,1.78,2.54,2.2
1/6/2021,0.5,1.78,2.54,2.2
12/30/2020,0.5,1.78,2.55,2.21
12/23/2020,0.5,1.8,2.56,2.23
12/16/2020,0.5,1.81,2.57,2.24
12/9/2020,0.5,1.82,2.59,2.26
12/2/2020,0.5,1.87,2.62,2.26
11/25/2020,0.5,1.87,2.64,2.29
11/18/2020,0.5,1.87,2.64,2.31
11/11/2020,0.5,1.87,2.64,2.34
11/4/2020,0.5,1.87,2.64,2.34
10/28/2020,0.5,1.87,2.65,2.33
10/21/2020,0.5,1.87,2.66,2.34
10/14/2020,0.5,1.91,2.67,2.35
10/7/2020,0.5,1.91,2.67,2.35
9/30/2020,0.5,1.92,2.68,2.34
9/23/2020,0.5,1.93,2.69,2.33
9/16/2020,0.5,1.93,2.69,2.35
9/9/2020,0.5,1.93,2.72,2.34
9/2/2020,0.5,1.93,2.76,2.36
8/26/2020,0.5,1.92,2.79,2.36
8/19/2020,0.5,1.96,2.82,2.38
8/12/2020,0.5,2.04,2.83,2.36
8/5/2020,0.5,2.03,2.84,2.39
7/29/2020,0.5,1.97,2.85,2.43
7/22/2020,0.5,1.99,2.88,2.47
7/15/2020,0.5,2.05,2.9,2.5
7/8/2020,0.5,2.06,2.91,2.52
