Year,Province,Location,New Housing Price Index,Avg_Value,Number_of_Study_Permits_Issued,Study_Permit_To_Value_Impact_Metric,Total_Workers_Count,Number_of_Class_Titles,Most_Common_Class_Title,Workers_To_Housing_Impact_Ratio,Combined_Impact_Ratio,Avg_Total_CPI,Avg_Total_CPI_Seasonally_Adjusted,Avg_STATIC_TOTALCPICHANGE,Avg_CPI_TRIM,Avg_CPI_MEDIAN
2016,Ontario,"Windsor, Ontario",Land only,97.42,103720.0,1064.67,25565.0,475.0,0011 - Legislators,262.42,663.55,128.37,128.38,1.44,1.82,1.99
2017,Manitoba,Manitoba,Land only,100.0,108870.0,1088.7,6825.0,409.0,0012 - Senior government managers and officials,68.25,578.48,130.42,130.43,1.6,1.44,1.63
2020,Nova Scotia,Nova Scotia,House only,106.92,105815.0,989.67,4250.0,391.0,0012 - Senior government managers and officials,39.75,514.71,136.96,136.95,0.73,1.77,1.88
2020,Alberta,Alberta,Total (house and land),96.83,105815.0,1092.79,6200.0,436.0,0011 - Legislators,64.03,578.41,136.96,136.95,0.73,1.77,1.88
2021,British Columbia,"Victoria, British Columbia",Land only,106.08,152280.0,1435.52,9615.0,470.0,0011 - Legislators,90.64,763.08,141.61,141.61,3.4,2.91,2.65
2016,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,8.33,103720.0,12451.38,12770.0,482.0,0011 - Legislators,1533.01,6992.2,128.37,128.38,1.44,1.82,1.99
2019,Saskatchewan,"Regina, Saskatchewan",House only,94.0,126555.0,1346.33,5215.0,386.0,0012 - Senior government managers and officials,55.48,700.91,135.98,135.97,1.94,2.05,2.01
2020,New Brunswick,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,101.0,105815.0,1047.67,2510.0,369.0,"0013 - Senior managers - financial, communications and other business services",24.85,536.26,136.96,136.95,0.73,1.77,1.88
2021,Quebec,"Montréal, Quebec",Total (house and land),135.0,152280.0,1128.0,17550.0,482.0,0011 - Legislators,130.0,629.0,141.61,141.61,3.4,2.91,2.65
2021,Alberta,Alberta,Land only,101.33,152280.0,1502.81,3710.0,436.0,0011 - Legislators,36.61,769.71,141.61,141.61,3.4,2.91,2.65
2021,British Columbia,"Kelowna, British Columbia",Total (house and land),115.83,152280.0,1314.69,9615.0,470.0,0011 - Legislators,83.01,698.85,141.61,141.61,3.4,2.91,2.65
2022,Manitoba,Manitoba,Total (house and land),141.25,168235.0,1191.04,4250.0,409.0,0012 - Senior government managers and officials,30.09,610.56,151.24,151.24,6.8,5.25,4.84
2023,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",Total (house and land),105.58,181960.0,1723.43,4520.0,310.0,0012 - Senior government managers and officials,42.81,883.12,157.11,157.11,3.89,3.89,4.02
2016,Nova Scotia,Nova Scotia,Land only,99.33,103720.0,1044.2,2955.0,391.0,0012 - Senior government managers and officials,29.75,536.98,128.37,128.38,1.44,1.82,1.99
2019,British Columbia,"Victoria, British Columbia",House only,100.92,126555.0,1254.01,15480.0,470.0,0011 - Legislators,153.39,703.7,135.98,135.97,1.94,2.05,2.01
